LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
39m         Normal    Pulling                        pod/life-assistant-engagement-service-646486db9c-79swk       Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:engagement-service-84e49096562b5713112782a46fcb4070c6f4c50a"
39m         Normal    Pulling                        pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:fulfillment-service-84e49096562b5713112782a46fcb4070c6f4c50a"
39m         Normal    Created                        pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Container created
39m         Normal    Pulled                         pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 7.85s (7.85s including waiting). Image size: 178336102 bytes.
39m         Normal    Started                        pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Container started
39m         Normal    Started                        pod/life-assistant-order-service-79d9584cf4-jlvlb            Container started
39m         Normal    Pulled                         pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:fulfillment-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 8.179s (8.179s including waiting). Image size: 178422751 bytes.
39m         Normal    Created                        pod/life-assistant-order-service-79d9584cf4-jlvlb            Container created
39m         Normal    Pulled                         pod/life-assistant-order-service-79d9584cf4-jlvlb            Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:order-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 8.591s (8.591s including waiting). Image size: 178282680 bytes.
39m         Normal    Started                        pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Container started
39m         Normal    Created                        pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Container created
39m         Normal    Pulled                         pod/life-assistant-user-service-c45b44cdf-9j7dv              Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:user-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 14.911s (14.911s including waiting). Image size: 178434813 bytes.
39m         Normal    Created                        pod/life-assistant-user-service-c45b44cdf-9j7dv              Container created
39m         Normal    Started                        pod/life-assistant-user-service-c45b44cdf-9j7dv              Container started
39m         Normal    Created                        pod/life-assistant-settlement-service-6bcc59466d-p5k68       Container created
39m         Normal    Started                        pod/life-assistant-settlement-service-6bcc59466d-p5k68       Container started
39m         Normal    Created                        pod/life-assistant-engagement-service-646486db9c-79swk       Container created
39m         Normal    Started                        pod/life-assistant-engagement-service-646486db9c-79swk       Container started
39m         Normal    Pulled                         pod/life-assistant-settlement-service-6bcc59466d-p5k68       Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:settlement-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 15.433s (15.433s including waiting). Image size: 178250055 bytes.
39m         Normal    Pulled                         pod/life-assistant-engagement-service-646486db9c-79swk       Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:engagement-service-84e49096562b5713112782a46fcb4070c6f4c50a" in 15.17s (15.17s including waiting). Image size: 182080118 bytes.
38m         Warning   Unhealthy                      pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Liveness probe failed: Get "http://10.42.0.175:8081/api/health": dial tcp 10.42.0.175:8081: connect: connection refused
38m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Liveness probe failed: Get "http://10.42.0.179:8085/api/health": dial tcp 10.42.0.179:8085: connect: connection refused
38m         Warning   Unhealthy                      pod/life-assistant-order-service-79d9584cf4-jlvlb            Liveness probe failed: Get "http://10.42.0.177:8083/api/health": dial tcp 10.42.0.177:8083: connect: connection refused
38m         Warning   Unhealthy                      pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Readiness probe failed: Get "http://10.42.0.175:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Normal    Killing                        pod/life-assistant-merchant-service-7bdbcdb897-psfpf         Stopping container merchant-service
38m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-7bdbcdb897        Deleted pod: life-assistant-merchant-service-7bdbcdb897-psfpf
38m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled down replica set life-assistant-merchant-service-7bdbcdb897 from 1 to 0
38m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-p5k68       Readiness probe failed: Get "http://10.42.0.178:8084/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Warning   Unhealthy                      pod/life-assistant-order-service-79d9584cf4-jlvlb            Liveness probe failed: Get "http://10.42.0.177:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Warning   Unhealthy                      pod/life-assistant-settlement-service-6bcc59466d-p5k68       Liveness probe failed: Get "http://10.42.0.178:8084/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Liveness probe failed: Get "http://10.42.0.179:8085/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Warning   Unhealthy                      pod/life-assistant-user-service-c45b44cdf-9j7dv              Liveness probe failed: Get "http://10.42.0.176:8082/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Warning   Unhealthy                      pod/life-assistant-order-service-79d9584cf4-jlvlb            Readiness probe failed: Get "http://10.42.0.177:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Readiness probe failed: Get "http://10.42.0.179:8085/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Warning   Unhealthy                      pod/life-assistant-user-service-c45b44cdf-9j7dv              Readiness probe failed: Get "http://10.42.0.176:8082/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
38m         Normal    Killing                        pod/life-assistant-settlement-service-d5f5b78bf-ldvt6        Stopping container settlement-service
38m         Normal    Killing                        pod/life-assistant-order-service-579c4f59c-r7ncp             Stopping container order-service
38m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled down replica set life-assistant-order-service-579c4f59c from 1 to 0
38m         Normal    SuccessfulDelete               replicaset/life-assistant-order-service-579c4f59c            Deleted pod: life-assistant-order-service-579c4f59c-r7ncp
38m         Normal    ScalingReplicaSet              deployment/life-assistant-settlement-service                 Scaled down replica set life-assistant-settlement-service-d5f5b78bf from 1 to 0
38m         Normal    SuccessfulDelete               replicaset/life-assistant-settlement-service-d5f5b78bf       Deleted pod: life-assistant-settlement-service-d5f5b78bf-ldvt6
38m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled down replica set life-assistant-user-service-5477798fb8 from 1 to 0
38m         Normal    Killing                        pod/life-assistant-user-service-5477798fb8-tfzhp             Stopping container user-service
38m         Normal    SuccessfulDelete               replicaset/life-assistant-user-service-5477798fb8            Deleted pod: life-assistant-user-service-5477798fb8-tfzhp
38m         Normal    SuccessfulDelete               replicaset/life-assistant-fulfillment-service-668f695c79     Deleted pod: life-assistant-fulfillment-service-668f695c79-qclrq
