LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
41m         Normal    Started                        pod/life-assistant-order-service-6b84595445-g7vqt            Container started
41m         Normal    Started                        pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Container started
41m         Normal    Created                        pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Container created
41m         Normal    Created                        pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Container created
41m         Normal    Started                        pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Container started
41m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Created pod: life-assistant-merchant-service-5bd7fc6fc8-59cjl
41m         Normal    SuccessfulCreate               replicaset/life-assistant-engagement-service-7f4d97d587      Created pod: life-assistant-engagement-service-7f4d97d587-dvkn7
41m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-engagement-service    New size: 2; reason: cpu resource utilization (percentage of request) above target
41m         Normal    ScalingReplicaSet              deployment/life-assistant-engagement-service                 Scaled up replica set life-assistant-engagement-service-7f4d97d587 from 1 to 2
41m         Normal    Created                        pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Container created
41m         Normal    Pulled                         pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
41m         Normal    Created                        pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Container created
41m         Normal    Pulled                         pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:engagement-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
41m         Normal    Started                        pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Container started
41m         Normal    Started                        pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Container started
40m         Warning   Unhealthy                      pod/life-assistant-user-service-798dd7779f-s5b6l             Liveness probe failed: Get "http://10.42.0.188:8082/api/health": dial tcp 10.42.0.188:8082: connect: connection refused
40m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-g7vqt            Liveness probe failed: Get "http://10.42.0.189:8083/api/health": dial tcp 10.42.0.189:8083: connect: connection refused
40m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Liveness probe failed: Get "http://10.42.0.191:8085/api/health": dial tcp 10.42.0.191:8085: connect: connection refused
40m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Liveness probe failed: Get "http://10.42.0.190:8081/api/health": dial tcp 10.42.0.190:8081: connect: connection refused
40m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-wcqs9            Liveness probe failed: Get "http://10.42.0.192:8083/api/health": dial tcp 10.42.0.192:8083: connect: connection refused
40m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Readiness probe failed: Get "http://10.42.0.191:8085/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
40m         Warning   Unhealthy                      pod/life-assistant-user-service-798dd7779f-s5b6l             Readiness probe failed: Get "http://10.42.0.188:8082/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
40m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Readiness probe failed: Get "http://10.42.0.190:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
40m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-wcqs9            Liveness probe failed: Get "http://10.42.0.192:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
40m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Liveness probe failed: Get "http://10.42.0.190:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
40m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-g7vqt            Liveness probe failed: Get "http://10.42.0.189:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
40m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-g7vqt            Readiness probe failed: Get "http://10.42.0.189:8083/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
39m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Liveness probe failed: Get "http://10.42.0.194:8081/api/health": dial tcp 10.42.0.194:8081: connect: connection refused
39m         Warning   Unhealthy                      pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Liveness probe failed: Get "http://10.42.0.193:8086/api/health": dial tcp 10.42.0.193:8086: connect: connection refused
