LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
27m         Normal    Killing                        pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Stopping container engagement-service
27m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-engagement-service    New size: 1; reason: All metrics below target
27m         Normal    SuccessfulDelete               replicaset/life-assistant-engagement-service-7f4d97d587      Deleted pod: life-assistant-engagement-service-7f4d97d587-dvkn7
27m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-wcqs9            Readiness probe failed: Get "http://10.42.0.192:8083/api/health": dial tcp 10.42.0.192:8083: connect: connection refused
26m         Warning   Unhealthy                      pod/life-assistant-engagement-service-7f4d97d587-dvkn7       Readiness probe failed: Get "http://10.42.0.193:8086/api/health": dial tcp 10.42.0.193:8086: connect: connection refused
26m         Normal    Killing                        pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Stopping container fulfillment-service
26m         Normal    SuccessfulDelete               replicaset/life-assistant-fulfillment-service-6899c79c8      Deleted pod: life-assistant-fulfillment-service-6899c79c8-9sq8d
26m         Normal    ScalingReplicaSet              deployment/life-assistant-fulfillment-service                Scaled down replica set life-assistant-fulfillment-service-6899c79c8 from 2 to 1
26m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-fulfillment-service   New size: 1; reason: All metrics below target
26m         Normal    Killing                        pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Stopping container merchant-service
26m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-merchant-service      New size: 2; reason: All metrics below target
26m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Deleted pod: life-assistant-merchant-service-5bd7fc6fc8-zx484
26m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled down replica set life-assistant-merchant-service-5bd7fc6fc8 from 3 to 2
25m         Warning   Unhealthy                      pod/life-assistant-fulfillment-service-6899c79c8-9sq8d       Readiness probe failed: Get "http://10.42.0.191:8085/api/health": dial tcp 10.42.0.191:8085: connect: connection refused
25m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-zx484         Readiness probe failed: Get "http://10.42.0.190:8081/api/health": dial tcp 10.42.0.190:8081: connect: connection refused
23m         Normal    Killing                        pod/life-assistant-user-service-798dd7779f-s5b6l             Stopping container user-service
23m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-user-service          New size: 1; reason: All metrics below target
23m         Normal    SuccessfulDelete               replicaset/life-assistant-user-service-798dd7779f            Deleted pod: life-assistant-user-service-798dd7779f-s5b6l
23m         Normal    ScalingReplicaSet              deployment/life-assistant-user-service                       Scaled down replica set life-assistant-user-service-798dd7779f from 2 to 1
23m         Warning   Unhealthy                      pod/life-assistant-user-service-798dd7779f-s5b6l             Readiness probe failed: Get "http://10.42.0.188:8082/api/health": dial tcp 10.42.0.188:8082: connect: connection refused
20m         Normal    Killing                        pod/life-assistant-order-service-6b84595445-g7vqt            Stopping container order-service
20m         Normal    SuccessfulDelete               replicaset/life-assistant-order-service-6b84595445           Deleted pod: life-assistant-order-service-6b84595445-g7vqt
20m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-order-service         New size: 1; reason: All metrics below target
20m         Normal    ScalingReplicaSet              deployment/life-assistant-order-service                      Scaled down replica set life-assistant-order-service-6b84595445 from 2 to 1
20m         Warning   Unhealthy                      pod/life-assistant-order-service-6b84595445-g7vqt            Readiness probe failed: Get "http://10.42.0.189:8083/api/health": dial tcp 10.42.0.189:8083: connect: connection refused
20m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Created pod: life-assistant-merchant-service-5bd7fc6fc8-cnh4w
20m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-5bd7fc6fc8 from 2 to 3
20m         Normal    SuccessfulRescale              horizontalpodautoscaler/life-assistant-merchant-service      New size: 3; reason: cpu resource utilization (percentage of request) above target
20m         Normal    Pulled                         pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Container image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-ac49c6c111521e9e99109095599a5eac976a8a8d" already present on machine and can be accessed by the pod
20m         Normal    Started                        pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Container started
20m         Normal    Created                        pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Container created
19m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled up replica set life-assistant-merchant-service-c864547b8 from 0 to 1
19m         Normal    Killing                        pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Stopping container merchant-service
19m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Deleted pod: life-assistant-merchant-service-5bd7fc6fc8-c8hjz
19m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Deleted pod: life-assistant-merchant-service-5bd7fc6fc8-cnh4w
19m         Normal    SuccessfulDelete               replicaset/life-assistant-merchant-service-5bd7fc6fc8        Deleted pod: life-assistant-merchant-service-5bd7fc6fc8-59cjl
19m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled down replica set life-assistant-merchant-service-5bd7fc6fc8 from 1 to 0
19m         Normal    SuccessfulCreate               replicaset/life-assistant-merchant-service-c864547b8         Created pod: life-assistant-merchant-service-c864547b8-vdbst
19m         Normal    Killing                        pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Stopping container merchant-service
19m         Normal    ScalingReplicaSet              deployment/life-assistant-merchant-service                   Scaled down replica set life-assistant-merchant-service-5bd7fc6fc8 from 3 to 1
19m         Normal    Killing                        pod/life-assistant-merchant-service-5bd7fc6fc8-c8hjz         Stopping container merchant-service
19m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Liveness probe failed: Get "http://10.42.0.195:8081/api/health": dial tcp 10.42.0.195:8081: connect: connection refused
19m         Normal    Pulling                        pod/life-assistant-merchant-service-c864547b8-vdbst          Pulling image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4"
18m         Normal    Pulled                         pod/life-assistant-merchant-service-c864547b8-vdbst          Successfully pulled image "crpi-c1t50gwiyvjmmjw6-vpc.cn-heyuan.personal.cr.aliyuncs.com/buaa_summer/life-service-assistant:merchant-service-50d3346ee281e2de2ed57bfe9139fe8feb72b1c4" in 7.82s (7.82s including waiting). Image size: 179961487 bytes.
18m         Normal    Created                        pod/life-assistant-merchant-service-c864547b8-vdbst          Container created
18m         Normal    Started                        pod/life-assistant-merchant-service-c864547b8-vdbst          Container started
18m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-cnh4w         Readiness probe failed: Get "http://10.42.0.195:8081/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
18m         Warning   Unhealthy                      pod/life-assistant-merchant-service-5bd7fc6fc8-59cjl         Readiness probe failed: Get "http://10.42.0.194:8081/api/health": dial tcp 10.42.0.194:8081: connect: connection refused
