timestamp,pod,cpu,memory
2026-09-01T10:32:05+08:00,life-assistant-mysql-596766557b-hl5pf,17m,611Mi
2026-09-01T10:32:05+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
2026-09-01T10:32:05+08:00,life-assistant-order-service-5696b855c6-lq468,5m,274Mi
2026-09-01T10:32:05+08:00,life-assistant-redis-c4fcbf6c-r8mhj,9m,14Mi
2026-09-01T10:32:05+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,5m,264Mi
2026-09-01T10:32:05+08:00,life-assistant-user-service-d9d686b55-p49lg,4m,281Mi
2026-09-01T10:32:23+08:00,life-assistant-api-gateway-68b5c996df-hwdds,5m,204Mi
2026-09-01T10:32:23+08:00,life-assistant-api-gateway-68b5c996df-nljj5,5m,223Mi
2026-09-01T10:32:23+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,4m,284Mi
2026-09-01T10:32:23+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:32:23+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,5m,282Mi
2026-09-01T10:32:23+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,4m,286Mi
2026-09-01T10:32:23+08:00,life-assistant-merchant-service-55f5f7c468-tmqj4,6m,263Mi
2026-09-01T10:32:23+08:00,life-assistant-mysql-596766557b-hl5pf,16m,611Mi
2026-09-01T10:32:23+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
2026-09-01T10:32:23+08:00,life-assistant-order-service-5696b855c6-lq468,4m,274Mi
2026-09-01T10:32:23+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,14Mi
2026-09-01T10:32:23+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,4m,264Mi
2026-09-01T10:32:23+08:00,life-assistant-user-service-d9d686b55-p49lg,4m,281Mi
2026-09-01T10:32:42+08:00,life-assistant-api-gateway-68b5c996df-hwdds,6m,204Mi
2026-09-01T10:32:42+08:00,life-assistant-api-gateway-68b5c996df-nljj5,4m,223Mi
2026-09-01T10:32:42+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,9m,284Mi
2026-09-01T10:32:42+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:32:42+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,5m,282Mi
2026-09-01T10:32:42+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,5m,286Mi
2026-09-01T10:32:42+08:00,life-assistant-merchant-service-55f5f7c468-tmqj4,7m,263Mi
2026-09-01T10:32:42+08:00,life-assistant-mysql-596766557b-hl5pf,12m,611Mi
2026-09-01T10:32:42+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
2026-09-01T10:32:42+08:00,life-assistant-order-service-5696b855c6-lq468,5m,274Mi
2026-09-01T10:32:42+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,14Mi
2026-09-01T10:32:42+08:00,life-assistant-settlement-service-6485f7b9bb-wwdxd,5m,264Mi
2026-09-01T10:32:42+08:00,life-assistant-user-service-d9d686b55-p49lg,6m,281Mi
2026-09-01T10:33:00+08:00,life-assistant-api-gateway-68b5c996df-nljj5,4m,223Mi
2026-09-01T10:33:00+08:00,life-assistant-engagement-service-95c6b48f5-rqzdj,4m,284Mi
2026-09-01T10:33:00+08:00,life-assistant-frontend-fc48fc794-wmck7,1m,4Mi
2026-09-01T10:33:00+08:00,life-assistant-fulfillment-service-7d8b56595d-z9slz,6m,282Mi
2026-09-01T10:33:00+08:00,life-assistant-merchant-service-55f5f7c468-4t6l5,7m,287Mi
2026-09-01T10:33:00+08:00,life-assistant-mysql-596766557b-hl5pf,14m,611Mi
2026-09-01T10:33:00+08:00,life-assistant-nacos-5995f55965-l7wq6,5m,559Mi
